Type	Checked?	Remedy	Position	Validation error	Text of example
T			2.12.12 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:category>    <w:gallery w:val=""coverPg"" />    <w:name w:val=""Internal Memo Covers"" />  </w:category>  …<w:docPartPr> "
T			2.12.13 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  …  <w:name w:val=""Sample Entry"" />  <w:description w:val=""This is an example of a glossary document entry for example purposes."" />  …<w:docPartPr> "
T			2.12.14 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:style w:val=""Heading1"" />  …<w:docPartPr> "
T			2.12.15 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:types>    <w:type w:val=""bbPlcHdr"" />  </w:types>  …<w:docPartPr> "
T			2.12.16 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	 <w:docPartPr>  <w:types>    …  </w:types>  …<w:docPartPr> 
T			2.12.16 example 2	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:types w:all=""true"">    <w:type w:val=""autoExp"" />    </w:types>  …<w:docPartPr> "
E			2.12.2 example 1	"The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>"". Nested exception: The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>""."	" <w:docPart>  <w:docPartPr>    <w:behaviors>      <w:behavior w:val=""p"" />      <w:behavior w:val=""pg"" />    </w:behavior>    …  </w:docPartPr>  <w:docPartBody>    <w:p>      <w:r>        <w:t>Sample entry.</w:t>      </w:r>    </w:p>  </w:docPartBody></w:docPart> "
T			2.12.3 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	 <w:docPartPr>  <w:category>    …  </w:category>  …<w:docPartPr> 
T			2.12.4 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  …  <w:name w:val=""Sample Entry"" />  <w:description w:val=""This is an example of a glossary document entry for example purposes."" />  …<w:docPartPr> "
E			2.12.6 example 2	"The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>"". Nested exception: The element type ""w:behaviors"" must be terminated by the matching end-tag ""</w:behaviors>""."	" <w:docPart>  <w:docPartPr>    <w:behaviors>      <w:behavior w:val=""p""/>    </w:behavior>    …  </w:docPartPr>  <w:docPartBody>    <w:p>      <w:r>        <w:t>Sample entry.</w:t>      </w:r>    </w:p>  </w:docPartBody></w:docPart> "
T			2.12.9 example 1	XML document structures must start and end within the same entity. Nested exception: XML document structures must start and end within the same entity.	" <w:docPartPr>  <w:category>    <w:gallery w:val=""coverPg"" />    <w:name w:val=""Internal Memo Covers"" />  </w:category>  …<w:docPartPr> "
E			2.13.4.2 example 1	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:comment'. ::: 	" <w:comment w:id=""1"" w:initials=""User"">    …  </w:comment> "
E			2.13.4.2 example 5	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:comment'. ::: 	" <w:comment w:id=""1"" w:initials=""KB"">    …  </w:comment> "
?			2.13.4.3 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.4.4 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
E			2.13.5.10 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:moveFromRangeStart'. ::: 	" <w:body>  <w:p/>  <w:moveFromRangeStart w:id=""0"" w:name=""move1"" w:displacedByCustomXml=""next""/>  <w:customXmlMoveFromRangeStart w:id=""1""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveFromRangeEnd w:id=""1""/>  <w:moveFromRangeEnd w:id=""0"" w:displacedByCustomXml=""prev""/>  <w:p/>  <w:moveToRangeStart w:id=""2"" w:name=""move1"" w:displacedByCustomXml=""next""/>  <w:customXmlMoveToRangeStart w:id=""3""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveToRangeEnd w:id=""3""/>  <w:moveFromRangeEnd w:id=""2"" w:displacedByCustomXml=""prev""/></w:body> "
E			2.13.5.11 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:moveFromRangeStart'. ::: 	" <w:body>  <w:p/>  <w:moveFromRangeStart w:id=""0"" w:name=""move1"" w:displacedByCustomXml=""next""/>    <w:customXmlMoveFromRangeStart w:id=""1""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveFromRangeEnd w:id=""1""/>  <w:moveFromRangeEnd w:id=""0"" w:displacedByCustomXml=""prev""/>  <w:p/>    <w:moveToRangeStart w:id=""2"" w:name=""move1"" w:displacedByCustomXml=""next""/>    <w:customXmlMoveToRangeStart w:id=""3""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveToRangeEnd w:id=""3""/>  <w:moveFromRangeEnd w:id=""2"" w:displacedByCustomXml=""prev""/></w:body> "
E			2.13.5.14 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:tr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblPr}' is expected. ::: "	" <w:tbl>  <w:tr>    <w:tc>      <w:p/>    </w:tc>    <w:tc>      <w:p/>    </w:tc>  </w:tr>  <w:tr>    <w:trPr>      <w:del w:id=""0"" … />    </w:trPr>    <w:tc>      <w:p/>    </w:tc>    <w:tc>      <w:p/>    </w:tc>  </w:tr>  </w:tbl> "
E			2.13.5.16 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:tr'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":bookmarkEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":moveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":commentRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlInsRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlDelRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveFromRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeStart, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":customXmlMoveToRangeEnd, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":tblPr}' is expected. ::: "	" <w:tbl>  <w:tr>    <w:tc>      <w:p/>    </w:tc>    <w:tc>      <w:p/>    </w:tc>  </w:tr>  <w:tr>    <w:trPr>      <w:ins w:id=""0"" … />    </w:trPr>    <w:tc>      <w:p/>    </w:tc>    <w:tc>      <w:p/>    </w:tc>  </w:tr>  </w:tbl> "
E			2.13.5.19 example 1	 cvc-datatype-valid.1.2.1: '20050101T10:00:00Z' is not a valid value for 'dateTime'. ::: 	" <w:p>  <w:pPr>    <w:numPr>      <w:ilvl w:val=""0"" />      <w:numId w:val=""1"" />      <w:ins w:id=""0"" w:author=""Joe Smith"" w:date=""20050101T10:00:00Z"" />    </w:numPr>  </w:pPr>  <w:r>    <w:t>one</w:t>  </w:r></w:p>  <w:p>  <w:pPr>    <w:numPr>      <w:ilvl w:val=""0"" />      <w:numId w:val=""1"" />      <w:ins w:id=""0"" w:author=""Joe Smith"" w:date=""20050101T10:00:00Z"" />    </w:numPr>  </w:pPr>  <w:r>    <w:t>two</w:t>  </w:r></w:p> "
E			2.13.5.19 example 1	 cvc-datatype-valid.1.2.1: '20050101T10:00:00Z' is not a valid value for 'dateTime'. ::: 	" <w:p>  <w:pPr>    <w:numPr>      <w:ilvl w:val=""0"" />      <w:numId w:val=""1"" />      <w:ins w:id=""0"" w:author=""Joe Smith"" w:date=""20050101T10:00:00Z"" />    </w:numPr>  </w:pPr>  <w:r>    <w:t>one</w:t>  </w:r></w:p>  <w:p>  <w:pPr>    <w:numPr>      <w:ilvl w:val=""0"" />      <w:numId w:val=""1"" />      <w:ins w:id=""0"" w:author=""Joe Smith"" w:date=""20050101T10:00:00Z"" />    </w:numPr>  </w:pPr>  <w:r>    <w:t>two</w:t>  </w:r></w:p> "
?			2.13.5.23 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.5.24 example 6	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.5.27 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.5.28 example 6	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
E			2.13.5.29 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar><w:r>  <w:instrText>LISTNUM</w:instrText></w:r><w:fldChar w:type=""separate""/><w:r>  <w:t>2.</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.13.5.29 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar><w:r>  <w:instrText>LISTNUM</w:instrText></w:r><w:fldChar w:type=""separate""/><w:r>  <w:t>2.</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.13.5.29 example 1	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar><w:r>  <w:instrText>LISTNUM</w:instrText></w:r><w:fldChar w:type=""separate""/><w:r>  <w:t>2.</w:t></w:r><w:fldChar w:type=""end"" /> "
E			2.13.5.29 example 2	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar> "
E			2.13.5.29 example 6	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar> "
E			2.13.5.3 example 5	cvc-complex-type.3.2.2: Attribute 'w:vmerge' is not allowed to appear in element 'w:cellMerge'. ::: 	" <w:tc>  <w:tcPr>    <w:cellMerge … w:vmerge=""cont"" />  </w:tcPr>  …</w:tc> "
E			2.13.5.3 example 6	cvc-complex-type.3.2.2: Attribute 'w:vmergeOrig' is not allowed to appear in element 'w:cellMerge'. ::: 	" <w:tc>  <w:tcPr>    <w:cellMerge … w:vmergeOrig=""cont"" />  </w:tcPr>  …</w:tc> "
?			2.13.5.30 example 2	The markup in the document preceding the root element must be well-formed.	 <%[numbering level]:[nfc value]:[numbering
E			2.13.5.30 example 7	 cvc-complex-type.3.2.2: Attribute 'w:type' is not allowed to appear in element 'w:fldChar'. ::: 	" <w:fldChar w:type=""begin"">  <w:numberingChange w:id=""0"" … w:original=""1."" /></w:fldChar> "
E			2.13.5.34 example 1	cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:cols'. ::: 	" <w:sectPr>  <w:cols w:val=""3""/>  <w:sectPrChange w:id=""0"" w:date=""01-01-2006T12:00:00"" w:author=""John Doe"">    <w:sectPr/>  </w:sectPrChange></w:sectPr> "
E			2.13.5.4 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:customXmlDelRangeStart'. ::: 	" <w:p>    <w:customXmlDelRangeStart w:id=""0"" />  <w:customXml … >    <w:customXml … >      <w:del … >        <w:r>          <w:delText>Text.</w:delText>        </w:r>      </w:del>    </w:customXml>    <w:customXmlDelRangeEnd w:id=""0"" />  </w:customXml>  <w:r>    <w:t>More text.</w:t>  </w:r></w:p> "
E			2.13.5.5 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:customXmlDelRangeStart'. ::: 	" <w:p>    <w:customXmlDelRangeStart w:id=""0"" />  <w:customXml … >    <w:customXml … >      <w:del … >        <w:r>          <w:delText>Text.</w:delText>        </w:r>      </w:del>    </w:customXml>    <w:customXmlDelRangeEnd w:id=""0"" />  </w:customXml>  <w:r>    <w:t>More text.</w:t>  </w:r></w:p> "
E			2.13.5.8 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:moveFromRangeStart'. ::: 	" <w:body>  <w:p/>  <w:moveFromRangeStart w:id=""0"" w:name=""move1"" w:displacedByCustomXml=""next""/>  <w:customXmlMoveFromRangeStart w:id=""1""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveFromRangeEnd w:id=""1""/>  <w:moveFromRangeEnd w:id=""0"" w:displacedByCustomXml=""prev""/>  <w:p/>  <w:moveToRangeStart w:id=""2"" w:name=""move1"" w:displacedByCustomXml=""next""/>  <w:customXmlMoveToRangeStart w:id=""3""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveToRangeEnd w:id=""3""/>  <w:moveFromRangeEnd w:id=""2"" w:displacedByCustomXml=""prev""/></w:body> "
E			2.13.5.9 example 2	 cvc-complex-type.4: Attribute 'author' must appear on element 'w:moveFromRangeStart'. ::: 	" <w:body>  <w:p/>  <w:moveFromRangeStart w:id=""0"" w:name=""move1"" w:displacedByCustomXml=""next""/>    <w:customXmlMoveFromRangeStart w:id=""1""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveFromRangeEnd w:id=""1""/>  <w:moveFromRangeEnd w:id=""0"" w:displacedByCustomXml=""prev""/>  <w:p/>    <w:moveToRangeStart w:id=""2"" w:name=""move1"" w:displacedByCustomXml=""next""/>    <w:customXmlMoveToRangeStart w:id=""3""/>  <w:customXml … >    <w:p/>  </w:customXml>  <w:customXmlMoveToRangeEnd w:id=""3""/>  <w:moveFromRangeEnd w:id=""2"" w:displacedByCustomXml=""prev""/></w:body> "
?			2.13.6.1 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.6.2 example 4	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.7.1 example 2	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
?			2.13.7.2 example 4	The markup in the document following the root element must be well-formed.	" <w:commentRangeStart w:id=""0"" /><w:commentRangeStart w:id=""1"" w:displaced byCustomXml=""next"""
E			2.13.8 example 1	 cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:proofErr'. ::: 	" <w:p>  <w:proofErr w:val=""spellStart""/>  <w:r>    <w:t>erqwt</w:t>  </w:r>  <w:proofErr w:val=""spellEnd""/>  <w:r>    <w:t xml:space=""preserve""> werewr</w:t>  </w:r></w:p> "
E			2.13.8.1 example 1	 cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:proofErr'. ::: 	" <w:p>  <w:proofErr w:val=""gramStart""/>  <w:r>    <w:t>This are</w:t>  </w:r>  <w:proofErr w:val=""gramEnd""/>  <w:r>    <w:t xml:space=""preserve""> an error.</w:t>  </w:r></w:p> "
E			2.13.8.1 example 2	cvc-complex-type.3.2.2: Attribute 'w:val' is not allowed to appear in element 'w:proofErr'. ::: 	" <w:r>  <w:t>are</w:t></w:r><w:proofErr w:val=""gramEnd""/><w:r>  <w:t xml:space=""preserve""> an error.</w:t></w:r> "
E			2.14.1 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:uniqueTag'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":column}' is expected. ::: "	" <w:recipients>  <w:recipientData>    <w:active w:val=""false"" />    <w:uniqueTag w:val=""1126664175"" />  </w:recipientData>  <w:recipientData>    <w:uniqueTag w:val=""1530576378"" />  </w:recipientData></w:recipients> "
E			2.14.17 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:mappedName'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":lid, ""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":dynamicAddress}' is expected. ::: "	" <w:fieldMapData>  <w:name w:val=""Title"" />  <w:column w:val=""3"" />  <w:mappedName w:val=""Courtesy Title"" />  <w:lid w:val=""en-US"" /></w:fieldMapData> "
E			2.14.18 example 1	" cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:linkToQuery'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":mainDocumentType}' is expected. ::: "	" <w:mailMerge>  …  <w:linkToQuery />  <w:query w:val=""SELECT * FROM C:\queryExample.txt"" />  …</w:mailMerge> "
E	Y	"Could change example to have uniqueTag value as contents of element - but this is not consistent with the approach taken in the rest of the schema. Instead, change schema definition of uniqueTag to support w:val attribute"	2.14.28 example 1	"cvc-type.3.1.1: Element 'w:uniqueTag' is a simple type, so it cannot have attributes, excepting those whose namespace name is identical to 'http://www.w3.org/2001/XMLSchema-instance' and whose [local name] is one of 'type', 'nil', 'schemaLocation' or 'noNamespaceSchemaLocation'. However, the attribute, 'w:val' was found. ::: "	" <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1408613399"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:active w:val=""0"" />    <w:uniqueTag w:val=""870254691"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1107777181"" />   </w:recipientData> "
E	Y	"Could change example to have uniqueTag value as contents of element - but this is not consistent with the approach taken in the rest of the schema. Instead, change schema definition of uniqueTag to support w:val attribute"	2.14.28 example 1	"cvc-type.3.1.1: Element 'w:uniqueTag' is a simple type, so it cannot have attributes, excepting those whose namespace name is identical to 'http://www.w3.org/2001/XMLSchema-instance' and whose [local name] is one of 'type', 'nil', 'schemaLocation' or 'noNamespaceSchemaLocation'. However, the attribute, 'w:val' was found. ::: "	" <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1408613399"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:active w:val=""0"" />    <w:uniqueTag w:val=""870254691"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1107777181"" />   </w:recipientData> "
M	Y	"Move ""active"" element to before ""column"" element to satisfy ordering in schema"	2.14.28 example 1	"cvc-complex-type.2.4.a: Invalid content was found starting with element 'w:active'. One of '{""http://schemas.openxmlformats.org/wordprocessingml/2006/main"":uniqueTag}' is expected. ::: "	" <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1408613399"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:active w:val=""0"" />    <w:uniqueTag w:val=""870254691"" />   </w:recipientData>  <w:recipientData>  <w:column w:val=""1"" />    <w:uniqueTag w:val=""1107777181"" />   </w:recipientData> "
E			2.14.35 example 1	"cvc-type.3.1.1: Element 'w:uniqueTag' is a simple type, so it cannot have attributes, excepting those whose namespace name is identical to 'http://www.w3.org/2001/XMLSchema-instance' and whose [local name] is one of 'type', 'nil', 'schemaLocation' or 'noNamespaceSchemaLocation'. However, the attribute, 'w:val' was found. ::: "	" <w:recipientData>    <w:active w:val=""0"" />    <w:column w:val=""12"" />     <w:uniqueTag w:val=""258865469"" />   </w:recipientData> "
E			2.14.6 example 1	"cvc-type.3.1.1: Element 'w:uniqueTag' is a simple type, so it cannot have attributes, excepting those whose namespace name is identical to 'http://www.w3.org/2001/XMLSchema-instance' and whose [local name] is one of 'type', 'nil', 'schemaLocation' or 'noNamespaceSchemaLocation'. However, the attribute, 'w:val' was found. ::: "	" <w:recipientData>    <w:active w:val=""0"" />    <w:column w:val=""12"" />     <w:uniqueTag w:val=""258865469"" />   </w:recipientData> "
E			2.15.1 example 1	" cvc-enumeration-valid: Value 'dontCompress' is not facet-valid with respect to enumeration '[doNotCompress, compressPunctuation, compressPunctuationAndJapaneseKana]'. It must be a value from the enumeration. ::: "	" <w:settings>  <w:defaultTabStop w:val=""720"" />  <w:characterSpacingControl w:val=""dontCompress"" /></w:settings> "
E			2.15.1.1 example 1	 cvc-complex-type.3.2.2: Attribute 'w:optionSet' is not allowed to appear in element 'w:activeWritingStyle'. ::: 	" <w:activeWritingStyle w:lang=""en-CA"" w:vendorID=""64"" w:dllVersion=""131078"" w:nlCheck=""1"" w:optionSet=""0"" />  "
?			2.15.1.1 example 3	 cvc-complex-type.4: Attribute 'lang' must appear on element 'w:activeWritingStyle'. ::: 	     <w:activeWritingStyle …
?			2.15.1.11 example 1	 cvc-complex-type.4: Attribute 'header' must appear on element 'w:pgMar'. ::: 	" <w:pgMar w:top=""1440"" w:right=""1440"" w:bottom=""1440"" w:left=""2160"""
?			2.15.1.13 example 1	 cvc-complex-type.4: Attribute 'header' must appear on element 'w:pgMar'. ::: 	" <w:pgMar w:top=""1440"" w:right=""1440"" w:bottom=""1440"" w:left=""2160"""
